isolate_id_orig,Isolate_ID(GL),Strain_Number,lineage,Host_genus,Host_species,Year,Country,State,County,Town,Host_Environment,Sample_Type,GPS Coordinates,lat,lon,List,Notes,Duplicate
7613-G3,PR-18-347,16819,EU1,Notholithocarpus,densiflorus,2018,USA,OR,Curry,,Forest,,,42.34164488,-124.4079924,CurryCo_List/GLCC_DB,,
7881-C5,PR-18-354,16827,EU1,Notholithocarpus,densiflorus,2018,USA,OR,Curry,,Forest,,,42.29002179,-124.3837119,CurryCo_List/GLCC_DB,,
7613-H3,PR-18-332,16852,EU1,Notholithocarpus,densiflorus,2018,USA,OR,Curry,,Forest,,,42.3535533,-124.4066722,CurryCo_List/GLCC_DB,,
7881-B5,PR-18-333,16853,EU1,Notholithocarpus,densiflorus,2018,USA,OR,Curry,,Forest,,,42.35350489,-124.4063179,CurryCo_List/GLCC_DB,,
7881-D6,PR-18-351,16885,EU1,Notholithocarpus,densiflorus,2018,USA,OR,Curry,,Forest,,,42.33124897,-124.3785557,CurryCo_List/GLCC_DB,,
7613-E1,PR-19-001,16971,EU1,Notholithocarpus,densiflorus,2019,USA,OR,Curry,,Forest,,,42.29011,-124.39215,CurryCo_List/GLCC_DB,,
7881-G6,PR-19-002,16972,EU1,Notholithocarpus,densiflorus,2019,USA,OR,Curry,,Forest,,,42.29051,-124.39198,CurryCo_List/GLCC_DB,,
7881-E5,PR-19-003,16973,EU1,Notholithocarpus,densiflorus,2019,USA,OR,Curry,,Forest,,,42.29049,-124.39166,CurryCo_List/GLCC_DB,,
7881-H5,PR-19-004,16976,EU1,Notholithocarpus,densiflorus,2019,USA,OR,Curry,,Forest,,,42.32055534,-124.3795487,CurryCo_List/GLCC_DB,,
7881-B8,PR-19-023,16977,EU1,Notholithocarpus,densiflorus,2019,USA,OR,Curry,,Forest,,,42.32064243,-124.3794839,CurryCo_List/GLCC_DB,,
7881-A4,PR-19-005,16979,EU1,Notholithocarpus,densiflorus,2019,USA,OR,Curry,,Forest,,,42.3215551,-124.3731253,CurryCo_List/GLCC_DB,,
7881-B4,PR-19-024,16983,EU1,Notholithocarpus,densiflorus,2019,USA,OR,Curry,,Forest,,,42.31594237,-124.4050178,CurryCo_List/GLCC_DB,,
7613-B3,PR-19-006,16984,EU1,Notholithocarpus,densiflorus,2019,USA,OR,Curry,,Forest,,,42.32719344,-124.3825573,CurryCo_List/GLCC_DB,,
7613-H4,PR-19-025,16985,EU1,Notholithocarpus,densiflorus,2019,USA,OR,Curry,,Forest,,,42.32729195,-124.382436,CurryCo_List/GLCC_DB,,
7613-F4,PR-19-026,16988,EU1,Notholithocarpus,densiflorus,2019,USA,OR,Curry,,Forest,,,42.33521709,-124.3814073,CurryCo_List/GLCC_DB,,
7613-E4,PR-19-007,16989,EU1,Notholithocarpus,densiflorus,2019,USA,OR,Curry,,Forest,,,42.30477671,-124.3972228,CurryCo_List/GLCC_DB,,
7613-D5,PR-19-008,16991,EU1,Notholithocarpus,densiflorus,2019,USA,OR,Curry,,Forest,,,42.32546491,-124.3826399,CurryCo_List/GLCC_DB,,
7613-E5,PR-19-027,16992,EU1,Notholithocarpus,densiflorus,2019,USA,OR,Curry,,Forest,,,42.32535819,-124.3826387,CurryCo_List/GLCC_DB,,
7613-A5,PR-19-028,16993,EU1,Notholithocarpus,densiflorus,2019,USA,OR,Curry,,Forest,,,42.32573902,-124.3826597,CurryCo_List/GLCC_DB,,
7613-B7,PR-19-029,16994,EU1,Notholithocarpus,densiflorus,2019,USA,OR,Curry,,Forest,,,42.32553708,-124.3822204,CurryCo_List/GLCC_DB,,
Pram_PR_11_009_NA1,PR-11-009,1365048,NA1,Umbellularia,californica,2011,USA,CA,Marin,,,,,,,GLCC_DB,,
CDFA1418886,PR-07-121,1418886,NA1,Camellia,sp.,2004,USA,CA,Marin,,,,,,,ksuga_list,,duplicate
Pram_PR_07_121_NA1,PR-07-121,1418886,NA1,Camellia,sp.,2005,USA,CA,Marin,,,,,,,GLCC_DB,,duplicate
Pram_PR_11_010_NA1,PR-11-010,1496607,NA1,Camellia,japonica,2011,USA,CA,Sacramento,,,,,,,GLCC_DB,,
Pram_PR_11_020_NA1,PR-11-020,1625769,NA1,Molinadendron,sinaloense,2011,USA,CA,Alameda,,,,,,,GLCC_DB,,
Pram_PR_06_016_NA1,PR-06-016,06-81-2,NA1,Camellia,japonica,38789,USA,OR,Washington,,Nursery,,,,,GLCC_DB,,
Pram_PR_08_134_NA1,PR-08-134,08-SNJ-GO/NC-5B,NA1,Rhododendron,spp,2008,USA,NC,,Pineville,,soil under plants,,,,GLCC_DB,,
Pram_PR-09-150_EU1,PR-09-150,09-617-17 ODA,EU1,Rhododendron,,2009,USA,OR,Clackamas,,Nursery,,,,,GLCC_DB,,
Pram_PR-09-106_EU1,PR-09-106,09-82-68 ODA,EU1,Pieris,japonica,39902,USA,OR,Washington,,Nursery,,,,,GLCC_DB,,
Pram_PR_09_126_NA1,PR-09-126,09-SNJ-SC.09-0353a,NA1,Rhododendron,catawbiense,39938,USA,SC,,,,,,,,GLCC_DB,,
WSU107-0019.v2,,107-0019,NA1,,,,,,,,,,,,,,no data,
WSU107-0057.v2,PR-09-073,107-0057,NA1,,,2009,,,,,,,,,,GLCC_DB,,
WSU107-0072,PR-09-074,107-0072,NA1,,,2009,,,,,,,,,,GLCC_DB,,
WSU107-0081,PR-09-077,107-0081,NA1,,,2009,,,,,,,,,,GLCC_DB,,
WSU107-0086,,107-0086,NA1,,,,,,,,,,,,,,no data,
WSU108-0021,,108-0021,NA1,,,,,,,,,,,,,,no data,
Pram_PR-10-145_EU1,PR-10-145,10-923-6-1j,EU1,Rhododendron,spp,2010,USA,OR,Multnomah,Gresham,Nursery,leaf,,,,GLCC_DB,,
WSU111-0001,PR-13-055,111-0001,NA1,,,2011,USA,WA,,,,water,,,,GLCC_DB,,
WSU115-0118,,115-0118,NA1,,,,,,,,,,,,,,no data,
115-JROTH01-280-SD1,,115-JROTH01-280-SD1,NA1,,,,,,,,,,,,,DROP_List,no data,
Pram_PR-06-028_EU1,PR-06-028,1369017-11,EU1,Osmanthus,heterophyllus,2006,USA,CA,Humboldt,,,,,,,GLCC_DB,,
PR-13-085,PR-13-085,13774-9174,NA1,Notholithocarpus,densiflorus,2013,USA,OR,Curry,,Forest,bark,,,,GLCC_DB,,
137-MITSU03-6078-L1,,137-MITSU03-6078-L1,NA1,,,,,,,,,,,,,DROP_List,no data,
PR-13-109,PR-13-109,13867-9117,NA1,Notholithocarpus,densiflorus,2013,USA,OR,Curry,,Forest,bark,,,,GLCC_DB,,
PR-13-116,PR-13-116,13885-9177,NA1,Notholithocarpus,densiflorus,2013,USA,OR,Curry,,Forest,bark,,,,GLCC_DB,,
PR-13-122,PR-13-122,13893-9178,NA1,Notholithocarpus,densiflorus,2013,USA,OR,Curry,,Forest,bark,,,,GLCC_DB,,
PR-13-127,PR-13-127,13904-9180,NA1,Notholithocarpus,densiflorus,2013,USA,OR,Curry,,Forest,bark,,,,GLCC_DB,,
PR-13-172,PR-13-172,13931-9204,NA1,Notholithocarpus,densiflorus,2013,USA,OR,Curry,,Forest,bark,,,,GLCC_DB,,
Pram_PR_07_101_NA1,PR-07-101,1428631-1,NA1,Camellia,japonica,2007,USA,CA,Sonoma,,,,,,,GLCC_DB,,
Pram_PR-09-054_NA2,PR-09-054,1470614-10,NA2,Rhododendron,,2008,USA,CA,Sacramento,,,,,,,GLCC_DB,,
Pram_PR_11_011_NA1,PR-11-011,1560191-36,NA1,Pieris,spp,2011,USA,CA,San Joaquin,,,,,,,GLCC_DB,,
Pram_PR-10-120_NA2,PR-10-120,1586251-1,NA2,Camellia,japonica,2010,USA,CA,Sonoma,,,leaf,,,,GLCC_DB,,
15-ARBIT04-303,,15-ARBIT04-303,NA1,,,,,,,,,,,,,DROP_List,no data,
161-SUGAR13-271-L1,,161-SUGAR13-271-L1,NA1,,,,,,,,,,,,,DROP_List,no data,
Pram_PR_11_018_NA1,PR-11-018,1621926-8,NA1,Laurus,nobilis,2011,USA,CA,Stanislaus,,,,,,,GLCC_DB,,
171-TERRI02-416-L1,,171-TERRI02-416-L1,NA1,,,,,,,,,,,,,DROP_List,no data,
17-ATHEA02-6925,,17-ATHEA02-6925,NA1,,,,,,,,,,,,,DROP_List,no data,
19-ELIOT01-2436,,19-ELIOT01-2436,NA1,,,,,,,,,,,,,DROP_List,no data,
21-FOP04-169,,21-FOP04-169,NA1,,,,,,,,,,,,,DROP_List,no data,
7612-A5,,2236stumpsoil-0205,NA1,,,2003,,,,,,,,42.10731,-124.25067,CurryCo_List,,
22-FOP04-202,,22-FOP04-202,NA1,,,,,,,,,,,,,DROP_List,no data,
Pram_PR_09_167_NA1,PR-09-167,263AL,NA1,Kalmia,latifolia,2005,USA,GA,Gwinnett,Norcross,,plant,,,,GLCC_DB,,
PR-13-203,PR-13-203,2989- GT65,NA1,Notholithocarpus,densiflorus,,USA,OR,Curry,,Forest,,,,,GLCC_DB,,
Pram_PR_09_175_NA1,PR-09-175,304F,NA1,Camellia,japonica,2005,USA,GA,Forsyth,Cumming,,plant,,,,GLCC_DB,,
32-JLSP05-4227,,32-JLSP05-4227,NA1,,,,,,,,,,,,,DROP_List,no data,
Pram_PR_07_048_NA1,PR-07-048,33-WA-RD,NA1,,,2005,USA,WA,Pierce,,,soil,,,,GLCC_DB,,
35-JLSP08-4349,,35-JLSP08-4349,NA1,,,,,,,,,,,,,DROP_List,no data,
7612-C2,,4120_R1,NA1,,,2001,,,,,,,,42.09114,-124.27432,CurryCo_List,,
7612-G2,,4131_R1,NA1,,,2001,USA,OR,Curry,,Forest,,,42.09114,-124.27432,CurryCo_List,,
7612-H2,,4134_(01),NA1,,,2001,USA,OR,Curry,,Forest,,,42.09114,-124.27432,CurryCo_List,,
7881-E12,,4240A,NA1,,,2002,,,,,,,,42.07426,-124.26316,CurryCo_List,,
7612-D4,PR-14-082,4245stumpsoil,NA1,,,2002,USA,OR,Curry,,,,,42.07387,-124.26338,CurryCo_list/GLCC_DB,,
45-JROTH05-282,,45-JROTH05-282,NA1,,,,,,,,,,,,,DROP_List,no data,
Pram_PR_07_066_NA1,PR-07-066,52-WA-A,NA1,,,2007,USA,WA,King,,,plant,,,,GLCC_DB,,
5-ANN15-843,,5-ANN15-843,NA1,,,,,,,,,,,,,DROP_List,no data,
60-SDC03-4369,,60-SDC03-4369,NA1,,,,,,,,,,,,,DROP_List,no data,
62-SUGAR13-271,,62-SUGAR13-271,NA1,,,,,,,,,,,,,DROP_List,no data,
7885-A8,,7885-A8,NA1,,,,,,,,,,,,,Yuzon_list,no data,
7885-A9,,7885-A9,EU1,,,,,,,,,,,,,Yuzon_list,no data,
7885-B8,,7885-B8,NA1,,,,,,,,,,,,,Yuzon_list,no data,
7885-B9,,7885-B9,EU1,,,,,,,,,,,,,Yuzon_list,no data,
7885-C8,,7885-C8,NA1,,,,,,,,,,,,,Yuzon_list,no data,
7885-C9,,7885-C9,EU2,,,,,,,,,,,,,Yuzon_list,no data,
7885-D8,,7885-D8,NA2,,,,,,,,,,,,,Yuzon_list,no data,
7885-D9,,7885-D9,EU2,,,,,,,,,,,,,Yuzon_list,no data,
7885-E8,,7885-E8,NA2,,,,,,,,,,,,,Yuzon_list,no data,
7885-E9,,7885-E9,EU2,,,,,,,,,,,,,Yuzon_list,no data,
7885-F8,,7885-F8,NA2,,,,,,,,,,,,,Yuzon_list,no data,
7885-F9,,7885-F9,EU2,,,,,,,,,,,,,Yuzon_list,no data,
7885-G8,,7885-G8,NA2,,,,,,,,,,,,,Yuzon_list,no data,
7885-H8,,7885-H8,NA2,,,,,,,,,,,,,Yuzon_list,no data,
8-ANN22-3037,,8-ANN22-3037,NA1,,,,,,,,,,,,,DROP_List,no data,
95-FOP333-207,,95-FOP333-207,NA1,,,,,,,,,,,,,DROP_List,no data,
96-FOP340-179,,96-FOP340-179,NA1,,,,,,,,,,,,,DROP_List,no data,
9D1,,9D1,NA1,,,,,,,,,,,,,Yuzon_list,no data,
ANN14-997,,ANN14-997,NA1,Sonoma,Umbellularia,2007,USA,CA,Sonoma,,,,,,,Yuzon_list,,
Pr-1556_2,,Bay4-11#2,NA1,,,2013,,,,,,race tube,,,,ksuga list,,
Pram_BBA_14-98-a_EU1,PR-98-002,BBA 14/98-a,EU1,Rhododendron,catawbiense,1998,Germany,,,,,,,,,GLCC_DB,,
Pram_PR-99-002_EU1,PR-99-002,BBA 16/99,EU1,Viburnum,bodnantense,1999,Germany,,,,,,,,,GLCC_DB,,
Pram_BBA_26-02_EU1,PR-08-001,BBA 26/02,EU1,Viburnum,bodnantense,2002,Belgium,,,,,,,,,GLCC_DB,,
Pram_PR-01-018_EU1,PR-01-018,BBA 35/01-01,EU1,Rhododendron,,2001,Germany,,,,,,,,,GLCC_DB,,
Pram_BBA_9-95_EU1,PR-95-001,BBA 9/95,EU1,Rhododendron,catawbiense,1995,Germany,,,,,,,,,GLCC_DB,,
Pram_PR-08-034_EU1,PR-08-034,BBA CSL 1560,EU1,Viburnum,tinus,2002,UK,,,,,,,,,GLCC_DB,,
Pram_PR-08-028_EU1,PR-08-028,BBA CSL 1604o,EU1,Rhododendron,grandiflora,2002,UK,,,,,,,,,GLCC_DB,,
BS2014-125,,BS2014-125,NA1,,,,,,,,,,,,,DROP_List,no data,
BS2014-236,,BS2014-236,NA1,,,,,,,,,,,,,DROP_List,no data,
BS2014-267,,BS2014-267,NA1,,,,,,,,,,,,,DROP_List,no data,
BS2014-268,,BS2014-268,NA1,,,,,,,,,,,,,DROP_List,no data,
BS2014-30,,BS2014-30,NA1,,,,,,,,,,,,,DROP_List,no data,
BS2014-408,,BS2014-408,NA1,,,,,,,,,,,,,DROP_List,no data,
BS2014-531,,BS2014-531,NA1,,,,,,,,,,,,,DROP_List,no data,
BS2014-535,,BS2014-535,NA1,,,,,,,,,,,,,DROP_List,no data,
BS2014-550,,BS2014-550,NA1,,,,,,,,,,,,,DROP_List,no data,
BS2014-570,,BS2014-570,NA1,,,,,,,,,,,,,DROP_List,no data,
BS2014-584,,BS2014-584,NA1,Notholithocarpus,densiflorus,2014,USA,CA,Monterey,,,,,,,Yuzon_list,,
BS2014-584_yuzon,,BS2014-584_yuzon,NA1,Notholithocarpus,densiflorus,2014,USA,CA,Monterey,,,,,,,Yuzon_list,,
BS2014-708,,BS2014-708,NA1,,,,,,,,,,,,,DROP_List,no data,
BS2014-710,,BS2014-710,NA1,,,,,,,,,,,,,DROP_List,no data,
BS2016-10,,BS2016-10,NA1,Umbellularia,californica,2016,USA,CA,Monterey,,,,,,,Yuzon_list,,
BS2016-13,,BS2016-13,NA1,,,,,,,,,,,,,DROP_List,no data,
BS2016-23,,BS2016-23,NA1,,,,,,,,,,,,,DROP_List,no data,
BS2016-28,,BS2016-28,NA1,,,,,,,,,,,,,DROP_List,no data,
BS2016-32,,BS2016-32,NA1,Notholithocarpus,densiflorus,2016,USA,CA,Monterey,,,,,,,Yuzon_list,,
BS2016-43,,BS2016-43,NA1,,,,,,,,,,,,,DROP_List,no data,
BS2016-47,,BS2016-47,NA1,,,,,,,,,,,,,DROP_List,no data,
BS96,,BS96,NA1,Umbellularia,californica,2003,USA,CA,Monterey,,,,,,,Yuzon_list,,
BS96_yuzon,,BS96_yuzon,NA1,Umbellularia,californica,2003,USA,CA,Monterey,,,,,,,Yuzon_list,,
CC1008,,CC1008,EU1,,,,,,,,,,,,,Yuzon_list,no data,
CC1011,,CC1011,EU1,,,,,,,,,,,,,Yuzon_list,no data,
CC1033,,CC1033,EU1,,,,,,,,,,,,,Yuzon_list,no data,
CC1048_a,,CC1048_a,EU1,,,,,,,,,,,,,Yuzon_list,no data,
CC1048_b,,CC1048_b,EU1,,,,,,,,,,,,,Yuzon_list,no data,
CC12475_a,,CC12475_a,EU1,,,,,,,,,,,,,Yuzon_list,no data,
CC12475_b,,CC12475_b,EU1,,,,,,,,,,,,,Yuzon_list,no data,
CC14654_a,,CC14654_a,EU1,,,,,,,,,,,,,Yuzon_list,no data,
CC14654_b,,CC14654_b,EU1,,,,,,,,,,,,,Yuzon_list,no data,
CC2168,,CC2168,EU1,,,,,,,,,,,,,Yuzon_list,no data,
CC2176,,CC2176,EU1,,,,,,,,,,,,,Yuzon_list,no data,
CC2184_a,,CC2184_a,EU1,,,,,,,,,,,,,Yuzon_list,no data,
CC2184_b,,CC2184_b,EU1,,,,,,,,,,,,,Yuzon_list,no data,
CC2186,,CC2186,EU1,,,,,,,,,,,,,Yuzon_list,no data,
CC2187,,CC2187,EU1,,,,,,,,,,,,,Yuzon_list,no data,
CC2275,,CC2275,EU1,,,,,,,,,,,,,Yuzon_list,no data,
ND886,,CDFA1418886,NA1,Camellia,sp.,2004,USA,CA,Marin,,,,,,,ksuga list,,
CS1,,CS1,NA1,Notholithocarpus,densiflorus,2016,USA,CA,San Mateo,,,,,,,Yuzon_list,,
CS2,,CS2,NA1,Umbellularia,californica,2016,USA,CA,San Mateo,,,,,,,Yuzon_list,,
CS26-T2-1,,CS26-T2-1,NA1,Umbellularia,californica,2008,USA,CA,Sonoma,,,,,,,Yuzon_list,,
Pram_CSL_1620_EU1,,CSL1620,EU1,,,,,,,,,,,,,,no data,
EU2_996_3,,EU2_996_3,EU2,Magnolia,stellata,2011,,,,,,,,,,Yuzon_list,,
FOP340-5299,,FOP340-5299,NA1,Umbellularia,californica,2010,USA,CA,Sonoma,,,,,,,Yuzon_list,,
Pram_PR_07_135_NA1,PR-07-135,GA-28C,NA1,Camellia,sasanqua,2004,USA,GA,Cobb,Alpharetta,,plant,,,,GLCC_DB,,
HMG2017-2,,HMG2017-2,NA1,Umbellularia,californica,2017,USA,CA,Santa Cruz,,,,,,,Yuzon_list,,
JLSP04-4325,,JLSP04-4325,NA1,Umbellularia,californica,2010,USA,CA,Sonoma,,,,,,,Yuzon_list,,
PR-18-126,PR-18-126,JP 236,NP1,,,2017,Japan,,,,Forest,water,"N 33 8.709, E 132 55.103",,,GLCC_DB,,
PR-18-128,PR-18-128,JP 387,NP2,,,2017,Japan,,,,Forest,water,"N 31 30.966, E 130 47.004",,,GLCC_DB,,
PR-18-129,PR-18-129,JP 462,NP2,,,2017,Japan,,,,Forest,water,"N 31 30.966, E 130 47.004",,,GLCC_DB,,
PR-18-130,PR-18-130,JP 716,NP1,,,2017,Japan,,,,Forest,water,"N 33 8.709, E 132 55.103",,,GLCC_DB,,
PR-18-131,PR-18-131,JP 717,NP1,,,2017,Japan,,,,Forest,water,"N 33 8.709, E 132 55.103",,,GLCC_DB,,
PR-18-132,PR-18-132,JP 718,NP1,,,2017,Japan,,,,Forest,water,"N 33 8.709, E 132 55.103",,,GLCC_DB,,
PR-18-133,PR-18-133,JP 916,NP1,,,2017,Japan,,,,Forest,water,"N 33 8.709, E 132 55.103",,,GLCC_DB,,
PR-18-134,PR-18-134,JP 975,NP3,Neolitsea,sericea,2017,Japan,,,,Forest,leaf,"N 31 49.732, E 130 38.468",,,GLCC_DB,,
Pram_PR_09_065_NA1,PR-09-065,"Lakeland IV, G-6-b",NA1,,,2009,USA,MS,,Jackson,,ditch water,,,,GLCC_DB,,
LTS-UMCA-1,,LTS-UMCA-1,NA1,Umbellularia,californica,2017,USA,CA,Santa Cruz,,,,,,,Yuzon_list,,
MK106,,MK106,NA1,Quercus,agrifolia,2008,USA,CA,San Mateo,,,,,,,ksuga list,,
MK516a_a,,MK516a_a,NA1,,,,,,,,,,,,,Yuzon_list,no data,
MK516a_b,,MK516a_b,NA1,,,,,,,,,,,,,Yuzon_list,no data,
MK516d,,MK516d,NA1,Quercus,agrifolia,2008,USA,CA,San Mateo,,,,,,,ksuga_list,,
MK548,,MK548,NA1,Umbellularia,californica,2008,USA,CA,San Mateo,,,,,,,ksuga list,,
MK548_yuzon,,MK548_yuzon,NA1,Umbellularia,californica,2008,USA,CA,San Mateo,,,,,,,Yuzon_list,,
MK558,,MK558,NA1,Quercus,agrifolia,2008,USA,CA,San Mateo,,,,,,,ksuga list,,
MK649a,,MK649a,NA1,Umbellularia,californica,2008,USA,CA,San Mateo,,,,,,,ksuga_list,,
MK649a_yuzon,,MK649a_yuzon,NA1,Umbellularia,californica,2008,USA,CA,San-Mateo,,,,,,,Yuzon_list,,
MK649b,,MK649b,NA1,Umbellularia,californica,2008,USA,CA,San Mateo,,,,,,,ksuga list,,
MK649b_yuzon,,MK649b_yuzon,NA1,Umbellularia,californica,2008,USA,CA,San-Mateo,,,,,,,Yuzon_list,,
MK79j,,MK79j,NA1,Umbellularia,californica,2008,USA,CA,San Mateo,,,,,,,ksuga_list,,
MK79j_yuzon,,MK79j_yuzon,NA1,Umbellularia,californica,2008,USA,CA,San-Mateo,,,,,,,Yuzon_list,,
MMWD2015-74,,MMWD2015-74,NA1,Notholithocarpus,densiflorus,2015,USA,CA,Marin,,,,,,,Yuzon_list,,
MMWD2015-91,,MMWD2015-91,NA1,Notholithocarpus,densiflorus,2015,USA,CA,Marin,,,,,,,Yuzon_list,,
MR176,,MR176,NA1,Umbellularia,californica,2005,USA,CA,Marin,,,,,,,Yuzon_list,,
Pram_PR_05_166_NA2,PR-05-166,MR31,NA2,Rhododendron,,2004,USA,WA,,,,,,,,GLCC_DB,,
ND886Aug2017,,ND886Aug2017,NA1,Camellia,sp,2004,USA,CA,Marin,,,,,,,Yuzon_list,,
ND886Jul2017,,ND886Jul2017,NA1,Camellia,sp,2004,USA,CA,Marin,,,,,,,Yuzon_list,,
ND886Jun2016,,ND886Jun2016,NA1,Camellia,sp,2004,USA,CA,Marin,,,,,,,Yuzon_list,,
Pram_P1549_EU1,PR-12-056,P1549,EU1,Fagus,sylvatica,2003,England,,,,,bark,,,,GLCC_DB,,
Pram_P1559_EU1,PR-12-057,P1559,EU1,Rhododendron,spp,2003,England,,,,,leaves,,,,GLCC_DB,,
Pram_P1562_EU1,PR-12-058,P1562,EU1,Quercus,cerris,2003,England,,,,,bark,,,,GLCC_DB,,
Pram_P1563_EU1,PR-12-059,P1563,EU1,Castanea,sativa,2003,England,,,,,bark,,,,GLCC_DB,,
Pram_P1614_EU1,PR-12-061,P1614,EU1,Nothofagus,spp,2004,England,,,,,bark,,,,GLCC_DB,,
Pram_P1856_EU1,PR-12-062,P1856,EU1,Acer,platanoides,2004,England,,,,,bark,,,,GLCC_DB,,
Pram_P1898_EU1,PR-12-063,P1898,EU1,Fagus,sylvatica,2005,England,,,,,bark,,,,GLCC_DB,,
Pram_P1959_EU1,PR-12-064,P1959,EU1,Quercus,cerris,2005,England,,,,,bark,,,,GLCC_DB,,
Pram_P2098_EU1,PR-12-065,P2098,EU1,Cinnamomum,camphora,2007,England,,,,,bark,,,,GLCC_DB,,
Pram_P2111_EU2,PR-12-035,P2111,EU2,Quercus,robur,2007,N.Ireland,,Down,,,stem,,,,GLCC_DB,,
